,topic_idx,topic_score,topic_name,cat,transcript_words,topic_words
5615,1,0.033,politique,politique,"['fourchette', 'possibilité', 'responsabilité', 'besoin', 'fédéralisme', 'clause', 'raison', 'territoire', 'effort', 'région']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
5616,1,0.059,politique,justice,"['protocole', 'transfèrement', 'condamnation', 'amendement', 'peine', 'expulsion', 'exécution', 'origine', 'délégation', 'consentement']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
5629,15,0.171,transport,transport,"['tronçon', 'interdépendance', 'route', 'réseau', 'page', 'message', 'entretien', 'gabarit', 'tiret', 'amélioration']",transport - véhicule - trafic - route - infrastructure - réseau - vélo - mobilité - agglomération - kilomètre
5631,15,0.114,transport,transport,"['fonds', 'drone', 'gare', 'département', 'fréquence', 'aéroport', 'route', 'infrastructure', 'résistance', 'office']",transport - véhicule - trafic - route - infrastructure - réseau - vélo - mobilité - agglomération - kilomètre
5639,19,0.052,média,culture-média,"['information', 'inquiétude', 'fiancée', 'amoureux', 'territorialité', 'déception', 'service', 'canal', 'production', 'train']",média - télévision - redevance - radio - presse - service - information - diversité - journaliste - région
5640,19,0.04,média,culture-média,"['information', 'télévision', 'radio', 'incompréhension', 'journaliste', 'site', 'production', 'diversification', 'lac', 'présence']",média - télévision - redevance - radio - presse - service - information - diversité - journaliste - région
5650,2,1,économie,économie,"['coût', 'gestion', 'entreprise', 'réexamen', 'fin', 'gouvernance', 'médicament', 'affaire', 'filiale', 'audit']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
5654,12,0.083,formation,formation-recherche,"['gymnase', 'réussite', 'publication', 'étude', 'formation', 'donnée', 'qualité', 'gymnasienne', 'facteur', 'gymnasien']",formation - école - recherche - innovation - langue - programme - encouragement - message - compétence - étudiant
5674,15,1,transport,écologie,"['véhicule', 'propulsion', 'moteur', 'catégorie', 'hydrogène', 'serviteur', 'batterie', 'pollution', 'tonne', 'plaisir']",transport - véhicule - trafic - route - infrastructure - réseau - vélo - mobilité - agglomération - kilomètre
5706,2,0.072,économie,économie,"['actionnaire', 'rémunération', 'argument', 'information', 'entreprise', 'prestation', 'organe', 'série', 'argumente', 'management']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
5716,1,0.158,politique,politique,"['ajout', 'complément', 'champ', 'direction', 'application', 'abstention', 'montant', 'membre', 'objet', 'sujet']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
5718,2,1,économie,économie,"['indemnité', 'chiffre', 'interdiction', 'annulation', 'administration', 'abstention', 'amendement', 'indication', 'opposition', 'convention']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
5721,17,0.022,autre,économie,"['succès', 'fois', 'abstention', 'chapitre', 'objet', 'entreprise', 'négoce', 'administration', 'faveur', 'voeu']",divergence - version - prestation - montant - point - lettre - abstention - unanimité - objet - modification
5727,3,0.167,société,économie,"['bourse', 'représentation', 'foi', 'avance', 'substance', 'signal', 'norme', 'direction', 'valeur', 'administration']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
5743,0,0.31,santé,santé,"['hépatite', 'dépistage', 'drogue', 'virus', 'transmission', 'population', 'infection', 'consommateur', 'sensibilisation', 'maladie']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
5765,19,0.188,média,culture-média,"['entreprise', 'facture', 'succursale', 'employé', 'musique', 'redevance', 'bureau', 'véhicule', 'tarif', 'consortium']",média - télévision - redevance - radio - presse - service - information - diversité - journaliste - région
5773,10,1,sécurité,télécommunications,"['donnée', 'protection', 'concurrence', 'externalisation', 'hébergement', 'enregistrement', 'numéro', 'organisme', 'renvoi', 'communication']",donnée - violence - sécurité - renseignement - information - échange - terrorisme - protection - centre - organisation
5799,3,0.25,société,société,"['congé', 'mère', 'père', 'paternité', 'maternité', 'semaine', 'femme', 'enfant', 'tâche', 'naissance']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
5807,3,0.293,société,société,"['congé', 'paternité', 'jour', 'semaine', 'famille', 'femme', 'homme', 'tâche', 'mérite', 'couple']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
5822,4,0.202,agriculture,agriculture-faune,"['version', 'milieu', 'forêt', 'dégât', 'espèce', 'animal', 'rente', 'culture', 'divergence', 'objet']",animal - agriculture - production - produit - consommateur - agriculteur - denrée - vin - sucre - lait
5823,15,0.108,transport,transport,"['traversée', 'contournement', 'ville', 'utilisateur', 'étape', 'percement', 'temps', 'effort', 'complémentarité', 'travail']",transport - véhicule - trafic - route - infrastructure - réseau - vélo - mobilité - agglomération - kilomètre
5832,1,0.013,politique,transport,"['billet', 'avion', 'émission', 'achat', 'transparence', 'responsabilité', 'transport', 'choix', 'connaissance', 'contexte']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
5838,12,0.111,formation,transport,"['profil', 'italien', 'successeur', 'politicien', 'administration', 'nomination', 'succession', 'français', 'allemand', 'collaborateur']",formation - école - recherche - innovation - langue - programme - encouragement - message - compétence - étudiant
5843,13,1,immigration,immigration,"['immigration', 'chômage', 'population', 'circulation', 'besoin', 'économie', 'marché', 'conséquence', 'immigrant', 'retardement']",asile - réfugié - immigration - intégration - étranger - frontière - requérant - séjour - naturalisation - demande
5844,13,1,immigration,immigration,"['travailleur', 'ressortissant', 'immigration', 'économie', 'chicanerie', 'paperasse', 'inconditionnel', 'étranger', 'travail', 'détérioration']",asile - réfugié - immigration - intégration - étranger - frontière - requérant - séjour - naturalisation - demande
5845,13,0.054,immigration,immigration,"['accompagnement', 'bilatérau', 'initiante', 'immigration', 'dumping', 'travailleuse', 'résiliation', 'orateur', 'initiant', 'sésame']",asile - réfugié - immigration - intégration - étranger - frontière - requérant - séjour - naturalisation - demande
5847,13,0.22,immigration,immigration,"['immigration', 'surpopulation', 'ressource', 'cauchemar', 'environnement', 'cause', 'écologie', 'consommation', 'discours', 'angle']",asile - réfugié - immigration - intégration - étranger - frontière - requérant - séjour - naturalisation - demande
5851,11,0.149,travail,emploi,"['syndicat', 'accompagnement', 'travailleuse', 'travailleur', 'voie', 'circulation', 'résiliation', 'bureaucratie', 'difficulté', 'université']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
5871,10,0.041,sécurité,immigration,"['centre', 'abstention', 'peuple', 'réfugié', 'biodiversité', 'backyard', 'trappe', 'fluctuation', 'moment', 'particularité']",donnée - violence - sécurité - renseignement - information - échange - terrorisme - protection - centre - organisation
5877,13,0.129,immigration,immigration,"['contrôle', 'poste', 'obligation', 'subsidiarité', 'migration', 'subvention', 'exécution', 'concept', 'décembre', 'collaboration']",asile - réfugié - immigration - intégration - étranger - frontière - requérant - séjour - naturalisation - demande
5885,11,0.225,travail,emploi,"['chômage', 'révision', 'digitalisation', 'chômeur', 'accès', 'pratique', 'partenariat', 'einzelne', 'zoom', 'indemnité']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
5892,11,0.162,travail,emploi,"['caisse', 'décompte', 'chômage', 'fondateur', 'comptabilité', 'prestation', 'justification', 'cité', 'transition', 'directive']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
5911,10,0.087,sécurité,économie,"['centre', 'pib', 'crédit', 'gouvernance', 'subvention', 'membre', 'contrat', 'division', 'dysfonctionnement', 'subventionnement']",donnée - violence - sécurité - renseignement - information - échange - terrorisme - protection - centre - organisation
5941,8,0.154,écologie,logement-territoire,"['plan', 'aménagement', 'territoire', 'adoption', 'association', 'consultation', 'importance', 'asile', 'aéronautique', 'fin']",émission - eau - objectif - biodiversité - zone - pesticide - surface - climat - produit - réduction
5961,2,0.148,économie,économie,"['produit', 'contrôle', 'fraude', 'cahier', 'charge', 'producteur', 'désignation', 'consommateur', 'abus', 'marché']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
5987,1,0.211,politique,politique,"['intervention', 'écoulement', 'quota', 'solution', 'style', 'cheminement', 'respect', 'auteur', 'poubelle', 'délai']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
6001,0,0.272,santé,santé,"['existentiel', 'référendum', 'bout', 'dispositif', 'assureur', 'soin', 'maladie', 'face', 'économie', 'coût']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
6030,3,0.063,société,finance,"['déduction', 'impôt', 'famille', 'enfant', 'abstention', 'version', 'justesse', 'crèche', 'tour', 'garde']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
6036,1,0.187,politique,économie,"['comité', 'midi', 'respect', 'préparation', 'opération', 'problème', 'pied', 'exécution', 'exercice', 'organe']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
6045,4,0.248,agriculture,économie,"['élément', 'respect', 'palme', 'abstention', 'français', 'huile', 'final', 'document', 'thème', 'détail']",animal - agriculture - production - produit - consommateur - agriculteur - denrée - vin - sucre - lait
6046,11,0.077,travail,emploi,"['débouché', 'attrait', 'emploi', 'place', 'innovation', 'condition', 'entreprise', 'remède', 'diversification', 'réduction']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
6052,8,0.204,écologie,écologie,"['plante', 'herbicide', 'séneçon', 'densité', 'traitement', 'assainissement', 'surface', 'arrachage', 'rumex', 'vératre']",émission - eau - objectif - biodiversité - zone - pesticide - surface - climat - produit - réduction
6056,4,1,agriculture,écologie,"['glyphosate', 'résidu', 'chimiste', 'produit', 'farine', 'sortie', 'utilisation', 'alternative', 'denrée', 'bouillie']",animal - agriculture - production - produit - consommateur - agriculteur - denrée - vin - sucre - lait
6058,11,0.363,travail,emploi,"['mobbing', 'définition', 'employeur', 'inspecteur', 'phénomène', 'brochure', 'agissement', 'inspection', 'travail', 'travailleur']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
6059,12,0.12,formation,formation-recherche,"['validation', 'profession', 'acquis', 'adulte', 'formation', 'expérience', 'certificat', 'parcours', 'métier', 'oeuvre']",formation - école - recherche - innovation - langue - programme - encouragement - message - compétence - étudiant
6065,3,0.279,société,finance,"['famille', 'revenu', 'allègement', 'quart', 'déduction', 'profiteur', 'vouloir', 'francophone', 'mercredi', 'chef']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
6116,12,0.051,formation,culture-média,"['échange', 'occasion', 'culture', 'message', 'augmentation', 'priorité', 'programme', 'importance', 'saupoudrage', 'langue']",formation - école - recherche - innovation - langue - programme - encouragement - message - compétence - étudiant
6137,9,0.148,extérieur,extérieur,"['thème', 'gouvernement', 'agenda', 'milice', 'discours', 'minute', 'moitié', 'coopération', 'collaboration', 'participation']",coopération - développement - aide - sanction - paix - relation - objectif - dialogue - région - neutralité
6138,9,0.12,extérieur,politique,"['secteur', 'train', 'effort', 'consultation', 'message', 'développement', 'risque', 'mandat', 'mandater', 'consenti']",coopération - développement - aide - sanction - paix - relation - objectif - dialogue - région - neutralité
6168,9,0.093,extérieur,société,"['pauvreté', 'suivi', 'citoyen', 'relevé', 'conjoncture', 'monitoring', 'communiqué', 'apport', 'base', 'échelle']",coopération - développement - aide - sanction - paix - relation - objectif - dialogue - région - neutralité
6180,7,0.045,armée,armée-sécurité,"['air', 'sol', 'défense', 'population', 'concept', 'arrêté', 'avion', 'système', 'planification', 'échec']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
6193,2,0.022,économie,économie,"['investissement', 'réflexion', 'pétrole', 'banque', 'embarras', 'réchauffement', 'flux', 'direction', 'énergie', 'gaz']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
6199,3,1,société,société,"['burqa', 'femme', 'liberté', 'port', 'discrimination', 'oeil', 'linceul', 'genre', 'domination', 'initiant']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
6210,1,0.154,politique,politique,"['copie', 'prédécesseur', 'signe', 'intervalle', 'objectif', 'contenu', 'institution', 'prise', 'évolution', 'jour']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
6217,0,0.419,santé,santé,"['prestation', 'appareil', 'produit', 'étranger', 'territorialité', 'description', 'achat', 'liste', 'moyen', 'instruction']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
6244,5,0.023,finance,finance,"['prévention', 'budget', 'produit', 'problème', 'aide', 'multiple', 'objectif', 'peine', 'serpent', 'avenir']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
6250,5,0.162,finance,finance,"['budget', 'paiement', 'colza', 'valeur', 'abstention', 'long', 'recherche', 'financement', 'vien', 'technologie']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
6257,5,0.015,finance,formation-recherche,"['etablissement', 'centre', 'titre', 'correction', 'efficience', 'bénéficiaire', 'facteur', 'transfert', 'établissement', 'budget']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
6258,5,0.178,finance,finance,"['visiteur', 'planification', 'budget', 'crédit', 'musée', 'fédération', 'variante', 'enveloppe', 'objectif', 'printemps']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
6267,0,1,santé,politique,"['soutien', 'espoir', 'sens', 'dispositif', 'stade', 'connaissance', 'responsabilité', 'financement', 'réalité', 'chose']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
6269,11,0.124,travail,emploi,"['dialogue', 'travail', 'principe', 'coopération', 'convention', 'niveau', 'emploi', 'échange', 'appartenance', 'réunion']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
6274,14,0.009,logement,logement-territoire,"['revenu', 'locative', 'classe', 'inférieur', 'part', 'indicateur', 'charge', 'satisfaction', 'accent', 'logement']",loyer - locataire - logement - bail - bailleur - propriétaire - construction - argent - fonds - blanchiment
6298,0,0.07,santé,économie,"['implantation', 'sensibilité', 'activité', 'objectif', 'intermédiaire', 'équilibre', 'région', 'conseiller']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
6300,7,1,armée,armée-sécurité,"['avion', 'combat', 'missile', 'sol', 'air', 'affaire', 'défense', 'armement', 'système', 'croisière']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
6318,16,0.303,retraite,retraite-rentes,"['rente', 'expertise', 'enregistrement', 'enfant', 'complément', 'expression', 'parent', 'divergence', 'système', 'note']",rente - pilier - retraite - réforme - âge - femme - prévoyance - taux - compensation - prestation
6320,17,0.109,autre,retraite-rentes,"['rente', 'enfant', 'parent', 'expression', 'appellation', 'complément', 'montant', 'modification', 'diminution', 'invalidité']",divergence - version - prestation - montant - point - lettre - abstention - unanimité - objet - modification
6325,0,0.269,santé,retraite-rentes,"['expert', 'procédure', 'enregistrement', 'assuré', 'solution', 'pétition', 'expertise', 'recours', 'preuve', 'invalidité']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
6326,14,0.023,logement,logement-territoire,"['colocation', 'ménage', 'montant', 'loyer', 'idée', 'taille', 'vie', 'titre', 'interpellation', 'prestation']",loyer - locataire - logement - bail - bailleur - propriétaire - construction - argent - fonds - blanchiment
6340,0,0.353,santé,santé,"['cannabis', 'essai', 'étude', 'ville', 'répression', 'accès', 'base', 'consomment', 'stupéfiant', 'consommateur']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
6342,4,0.439,agriculture,agriculture-faune,"['donnée', 'banque', 'animal', 'épizootie', 'trafic', 'société', 'vingtaine', 'gestion', 'révision', 'membre']",animal - agriculture - production - produit - consommateur - agriculteur - denrée - vin - sucre - lait
6344,4,0.313,agriculture,agriculture-faune,"['animal', 'trafic', 'détenteur', 'banque', 'encontre', 'occurrence', 'sanction', 'outil', 'exploitation', 'motif']",animal - agriculture - production - produit - consommateur - agriculteur - denrée - vin - sucre - lait
6349,4,0.124,agriculture,agriculture-faune,"['chat', 'surnom', 'chatte', 'puce', 'préambule', 'retraite', 'attention', 'connaissance', 'conseiller', 'solution']",animal - agriculture - production - produit - consommateur - agriculteur - denrée - vin - sucre - lait
6356,0,0.951,santé,santé,"['franchise', 'coût', 'prime', 'référence', 'augmentation', 'santé', 'assuré', 'assurance', 'soin', 'calcul']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
6371,11,0.097,travail,emploi,"['formation', 'financement', 'chômage', 'emploi', 'garant', 'insertion', 'réinsertion', 'chômeur', 'métier', 'suite']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
6376,1,0.12,politique,retraite-rentes,"['pilier', 'optimisation', 'modernisation', 'pesée', 'élément', 'impression', 'surveillance', 'message', 'information', 'intérêt']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
6394,0,1,santé,santé,"['soin', 'formation', 'infirmier', 'soignant', 'profession', 'diplôme', 'nombre', 'personnel', 'gaspillage', 'polymorbidité']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
6398,0,0.21,santé,santé,"['santé', 'soin', 'qualité', 'dépension', 'manager', 'personnel', 'infirmier', 'salaire', 'travail', 'système']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
6409,0,0.455,santé,santé,"['infirmier', 'soin', 'assurance', 'coût', 'charge', 'personnel', 'prestation', 'convention', 'explosion', 'catalogue']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
6421,10,0.058,sécurité,armée-sécurité,"['fourgon', 'transporteur', 'criminalité', 'attaque', 'police', 'août', 'avril', 'mai', 'février', 'décembre']",donnée - violence - sécurité - renseignement - information - échange - terrorisme - protection - centre - organisation
6422,3,0.319,société,finance,"['couple', 'imposition', 'impôt', 'revenu', 'quotient', 'barème', 'époux', 'famille', 'concubin', 'contribuable']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
6442,7,0.265,armée,armée-sécurité,"['bequeme', 'civiliste', 'détresse', 'paysan', 'montagne', 'hôpital', 'civil', 'effort', 'service', 'activité']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
6450,7,0.64,armée,armée-sécurité,"['service', 'civil', 'armée', 'médecin', 'médecine', 'étudiant', 'formation', 'dentiste', 'activité', 'profession']",armée - arme - service - guerre - matériel - avion - civil - sécurité - armement - munition
6456,2,0.098,économie,économie,"['actionnaire', 'prépondérance', 'ancienneté', 'souscription', 'actionnariat', 'débâcle', 'instrument', 'accumulation', 'vote', 'dividende']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
6472,5,0.027,finance,finance,"['présence', 'budget', 'passion', 'allemand', 'salle', 'intention', 'taux', 'raison']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
6479,3,0.264,société,société,"['congé', 'obligation', 'jour', 'conjoint', 'entretien', 'plafond', 'code', 'définition', 'enfant', 'famille']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
6480,3,0.326,société,société,"['allocation', 'parent', 'occupation', 'activité', 'précision', 'salaire', 'perte', 'taux', 'réduction', 'enfant']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
6491,2,0.117,économie,économie,"['affaire', 'contrat', 'industrie', 'bien', 'compensation', 'secteur', 'sécurité', 'civil', 'caractère', 'base']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
6494,16,0.081,retraite,santé,"['prestation', 'montant', 'cohérent', 'dentiste', 'bout', 'besoin', 'redevance', 'chose', 'bénéficiaire', 'compte']",rente - pilier - retraite - réforme - âge - femme - prévoyance - taux - compensation - prestation
6511,4,1,agriculture,économie,"['huile', 'palme', 'durabilité', 'concession', 'colza', 'échange', 'marché', 'commerce', 'négociation', 'standard']",animal - agriculture - production - produit - consommateur - agriculteur - denrée - vin - sucre - lait
6518,11,0.137,travail,emploi,"['salaire', 'convention', 'travail', 'partenariat', 'travailleur', 'applicabilité', 'éventualité', 'ingérence', 'sein', 'compétence']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
6527,10,1,sécurité,armée-sécurité,"['renseignement', 'échange', 'ordonnance', 'confidentialité', 'consignation', 'examen', 'transposition', 'élément', 'norme', 'partenaire']",donnée - violence - sécurité - renseignement - information - échange - terrorisme - protection - centre - organisation
6532,6,0.134,justice,armée-sécurité,"['policier', 'courtoi', 'peine', 'autorité', 'égard', 'respect', 'violence', 'menace', 'bobby', 'cachot']",procédure - peine - juge - code - tribunal - infraction - victime - justice - crime - avocat
6548,2,0.375,économie,économie,"['contexte', 'protectionnisme', 'échange', 'partenaire', 'négociation', 'aspect', 'économie', 'intérêt', 'chapitre', 'développement']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
6568,11,0.071,travail,retraite-rentes,"['rente', 'pont', 'chômage', 'retraite', 'travail', 'travailleur', 'marché', 'version', 'réinsertion', 'critère']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
6572,11,0.05,travail,emploi,"['prestation', 'chômage', 'assistance', 'aide', 'coût', 'chômeur', 'entreprise', 'alternative', 'relai', 'vie']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
6573,11,0.218,travail,emploi,"['patron', 'collaborateur', 'responsable', 'chômage', 'vision', 'construction', 'employeur', 'âge', 'message', 'heure']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
6576,16,0.009,retraite,retraite-rentes,"['prestation', 'âge', 'exportation', 'retraite', 'chômage', 'départ', 'rente', 'cotisation', 'étranger', 'achat']",rente - pilier - retraite - réforme - âge - femme - prévoyance - taux - compensation - prestation
6579,11,1,travail,retraite-rentes,"['chômage', 'prestation', 'seuil', 'assurance', 'fortune', 'cotisation', 'indemnité', 'dispositif', 'mois', 'intégration']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
6582,16,0.08,retraite,retraite-rentes,"['prestation', 'frais', 'calcul', 'secteur', 'bonification', 'vieillesse', 'impôt', 'dépense', 'invalidité', 'remboursement']",rente - pilier - retraite - réforme - âge - femme - prévoyance - taux - compensation - prestation
6586,3,0.343,société,retraite-rentes,"['invalidité', 'assurance', 'enfant', 'rente', 'vocabulaire', 'divergence', 'manque', 'modification', 'terme', 'navette']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
6598,10,0.14,sécurité,politique,"['pute', 'violence', 'phénomène', 'excuse', 'politicien', 'gauche', 'droite', 'concitoyen', 'temps', 'bite']",donnée - violence - sécurité - renseignement - information - échange - terrorisme - protection - centre - organisation
6600,19,0.041,média,culture-média,"['média', 'démocratie', 'bureau', 'rôle', 'diversité', 'opinion', 'thématique', 'thème', 'regroupement', 'raison']",média - télévision - redevance - radio - presse - service - information - diversité - journaliste - région
6603,2,0.224,économie,économie,"['batterie', 'garantie', 'vendeur', 'câble', 'obsolescence', 'durée', 'rechargement', 'portée', 'titre', 'énervement']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
6604,13,0.063,immigration,immigration,"['asile', 'présupposé', 'aide', 'place', 'région', 'requérant', 'correspondant', 'zone', 'migratoire', 'protection']",asile - réfugié - immigration - intégration - étranger - frontière - requérant - séjour - naturalisation - demande
6611,17,0.106,autre,justice,"['recours', 'révision', 'coursuprêmisation', 'haute', 'départ', 'américaine', 'plaideur', 'modifiant', 'unanimité', 'controverse']",divergence - version - prestation - montant - point - lettre - abstention - unanimité - objet - modification
6614,2,0.106,économie,économie,"['raisonnement', 'renouvellement', 'bout', 'départ', 'contrat', 'sorte', 'information', 'moment', 'modification', 'sens']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
6616,11,0.058,travail,emploi,"['plateforme', 'pause', 'flexibilisation', 'été', 'option', 'attente', 'travail', 'travailleur', 'terrain', 'fonctionnement']",travail - chômage - travailleur - salaire - employeur - entreprise - indemnité - emploi - assurance - harcèlement
6618,0,0.304,santé,santé,"['virus', 'grippe', 'coronavirus', 'frontière', 'maladie', 'expansion', 'contact', 'transmission', 'manifestation', 'solidarité']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
6622,5,0.167,finance,retraite-rentes,"['indicateur', 'office', 'convention', 'instruction', 'objectif', 'directive', 'rente', 'amélioration', 'analyse', 'procédure']",budget - dépense - impôt - crédit - imposition - convention - montant - compte - augmentation - réforme
6629,1,0.15,politique,économie,"['travail', 'commerce', 'dimanche', 'commentaire', 'modification', 'prescription', 'juillet', 'législateur', 'vente', 'champ']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
6630,2,0.169,économie,économie,"['consommateur', 'prix', 'entreprise', 'pme', 'notion', 'cartel', 'étranger', 'bien', 'marché', 'approvisionner']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
6632,2,0.122,économie,économie,"['produit', 'prix', 'entreprise', 'dollar', 'étranger', 'concurrence', 'plateforme', 'distribution', 'consommateur', 'pouvoir']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
6646,2,0.172,économie,économie,"['blocage', 'consommateur', 'interdiction', 'applicabilité', 'transfrontalier', 'cartel', 'désavantage', 'entreprise', 'siège', 'phénomène']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
6656,15,0.281,transport,transport,"['camion', 'marchandise', 'trafic', 'montagnard', 'rail', 'fruit', 'contrôle', 'poids', 'reston', 'route']",transport - véhicule - trafic - route - infrastructure - réseau - vélo - mobilité - agglomération - kilomètre
6672,1,0.054,politique,politique,"['mars', 'séance', 'ordre', 'actualité', 'mardi', 'travail', 'intervention', 'réalité', 'mois', 'sujet']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
6677,1,0.199,politique,politique,"['veto', 'exécutif', 'ordonnance', 'écho', 'objectif', 'juin', 'lobbyiste', 'révolutionnaire', 'part', 'ratio']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
6679,16,0.092,retraite,économie,"['secteur', 'solution', 'matin', 'intempérie', 'fonds', 'prestation', 'faiblesse', 'exclusion', 'satisfaction', 'sens']",rente - pilier - retraite - réforme - âge - femme - prévoyance - taux - compensation - prestation
6714,0,0.342,santé,santé,"['virus', 'grippe', 'transmission', 'évolution', 'propagation', 'manifestation', 'vecteur', 'proportionnée', 'hygiène', 'recommandation']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
6716,0,0.348,santé,santé,"['organe', 'trafic', 'don', 'transplantation', 'donneur', 'nombre', 'attente', 'défaillance', 'demande', 'écart']",assurance - santé - soin - coût - maladie - prime - patient - prestation - assureur - médicament
6718,3,1,société,retraite-rentes,"['terminologie', 'modification', 'compacte', 'rente', 'révision', 'plan', 'conséquence', 'présentation', 'pension', 'terme']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
6720,3,0.302,société,société,"['condition', 'activité', 'maternité', 'mère', 'difficulté', 'congé', 'oeuvre', 'consultation', 'accouchement', 'hospitalisation']",enfant - femme - congé - parent - famille - égalité - accueil - couple - vie - homme
6733,2,0.017,économie,économie,"['multinationale', 'norme', 'responsabilité', 'portée', 'camp', 'différence', 'côté', 'entreprise', 'étranger', 'humilié']",entreprise - prix - marché - banque - produit - concurrence - consommateur - société - investissement - travail
6751,1,0.074,politique,politique,"['évaluation', 'efficience', 'mal', 'formulation', 'surveillance', 'collaboration', 'action', 'version', 'type', 'idée']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
6753,1,0.233,politique,société,"['code', 'votation', 'sondage', 'base', 'orientation', 'transgenre', 'discrimination', 'victimisation', 'évaluation', 'février']",vote - transparence - surveillance - membre - travail - négociation - raison - point - manière - système
